model,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
Gradient Boosting,0.7310000007391704,0.7513165692035066,0.6820020540151619,0.7149793694347552,0.7974846407144375,0.735096924646553,0.7572593800978793,0.6837531300633377,0.7186314730242279,0.8025726724641769
Logistic Regression,0.7284001271257954,0.7546475537739691,0.668498871570468,0.7089169716055834,0.7898733433005649,0.7267162221250547,0.7556789500252398,0.6615112682280159,0.7054665409990575,0.7929307038432389
Linear SVM,0.7271601015228514,0.7578084154489785,0.6593624228984287,0.7051217710508082,0.7896686825765036,0.7246757032502551,0.7574824696425517,0.6523788481366917,0.7010129787907565,0.7928413652743468
Random Forest,0.7130799702830446,0.7177275305912789,0.6923513884019812,0.7047860652457926,0.7725731841353781,0.715493368313657,0.7206669726174086,0.6939166298423921,0.7070388713792586,0.7744415399317802
